DESA,JAN,FEB,MAR,APRIL, MEI,JUNI,JULI, AGUST, SEPT,OKT,NOV,DES
SLADI,1,2,0,7,2,4,0,1,1,,,
PATEBON,3,1,0,2,0,3,0,0,0,,,
WANGKAL W,2,0,0,1,0,1,0,0,0,,,
BENERWOJO,1,0,0,2,0,6,0,1,1,,,
KEDUNGPENGARON,0,0,0,1,0,1,2,0,0,,,
ORO ORO PULEH,0,1,0,1,1,2,0,0,0,,,
KLANGRONG,1,1,0,2,0,5,0,2,2,,,
KETANGIREJO,0,0,0,0,0,1,0,0,0,,,
RANDUGONG,1,0,0,0,0,2,0,0,0,,,
WRATI,3,2,0,3,1,8,1,0,0,,,
KLINTER,1,0,1,3,1,3,0,0,0,,,
TANGGULANGIN,1,2,0,2,3,4,0,0,0,,,
LUWUK,1,2,0,4,0,2,0,1,1,,,
KEPUH,1,0,0,0,0,1,0,0,0,,,
KEDEMUNGAN,2,3,0,0,0,10,0,0,0,,,
LOROKAN,3,0,0,0,1,4,0,1,1,,,
LINGGO,0,0,0,0,0,4,0,0,0,,,
KURUNG,2,1,1,3,0,1,0,1,0,,,
AMBAL AMBIL,2,1,0,5,0,9,0,0,0,,,
SUMBER SUKO,0,0,0,1,0,1,0,0,0,,,
PACAR KELING,2,4,0,4,0,5,0,0,2,,,
KEJAYAN,4,4,0,13,0,8,2,10,3,,,
SUMBER BANTENG,0,2,0,3,0,1,0,1,0,,,
TUNDOSORO,3,2,0,1,0,6,3,0,2,,,
COBANJOYO,0,1,0,3,0,7,0,1,0,,,
